Time,aat,temp_station,solar_station,lst,veg_p,man_p,wat_p,canopy_p
6/14/2019 11:42,23.37,24.05555556,868,37.85,0.49,0.51,0,0.01
6/14/2019 11:42,23.31,24.05555556,868,39.15,0.23,0.77,0,0.11
6/14/2019 11:42,23.5,24.05555556,868,37.75,0.92,0.07,0,0.07
6/14/2019 11:42,25.94153846,24.32905983,873.6538462,42.55,0,1,0,0.06
6/14/2019 11:42,25.7245,24.725,896.15,44.65,0,1,0,0.03
6/14/2019 11:42,30.095,24.05555556,868,45.45,0,0.99,0,0.05
6/14/2019 11:42,24.68428571,24.71329365,896.9464286,41.05,0,1,0,0.04
6/14/2019 11:42,27.84538462,24.68376068,886.6538462,45.25,0.04,0.96,0,0.01
6/14/2019 11:42,23.87,24.05555556,868,41.85,0,1,0,0.01
6/14/2019 11:42,23.75,24.05555556,868,32.75,0.73,0.27,0,0.07
6/14/2019 11:42,26.24666667,24.72222222,903.3333333,43.85,0,1,0,0
6/14/2019 11:42,24.73631579,24.63450292,892.3157895,43.45,0,1,0,0.06
6/14/2019 11:42,23.715,24.05555556,868,27.35,1,0,0,0.14
6/14/2019 11:43,24.62,24.16666667,869,39.25,0.12,0.88,0,0.02
6/14/2019 11:43,25.28,24.52777778,888,38.25,0.78,0.21,0,0.03
6/14/2019 11:43,24.25,24.16666667,869,36.05,0.85,0.15,0,0.27
6/14/2019 11:43,24.28,24.52777778,888,41.45,0.04,0.95,0.01,0.06
6/14/2019 11:43,25.5,24.60416667,882.125,37.85,0.87,0.03,0,0.04
6/14/2019 11:43,24.66,24.65555556,888.7,36.85,0.55,0.45,0,0.14
6/14/2019 11:43,24.31,24.52777778,888,41.65,0,0.99,0.01,0.02
6/14/2019 11:43,24.64,24.81944444,898.625,38.45,0.46,0.54,0,0.07
6/14/2019 11:43,24.52333333,24.61111111,879.1666667,38.45,0.46,0.54,0,0.02
6/14/2019 11:43,24.95666667,24.88888889,900.3333333,36.05,0.99,0,0.01,0.08
6/14/2019 11:43,25.49916667,24.68171296,888.5416667,39.95,0.15,0.85,0,0.03
6/14/2019 11:43,25.345,24.60416667,882.125,37.35,0.66,0.34,0,0.03
6/14/2019 11:43,24.19,24.16666667,869,36.35,0,1,0,0.01
6/14/2019 11:43,23.94,24.16666667,869,36.65,0.31,0.69,0,0.02
6/14/2019 11:43,24.625,24.52777778,888,41.75,0.13,0.86,0.01,0.02
6/14/2019 11:43,25.4225,24.59722222,892.25,39.25,0,1,0,0.02
6/14/2019 11:43,26.048,24.82222222,903.8,39.95,0,1,0,0.02
6/14/2019 11:43,25.12,24.16666667,869,37.15,0,0.89,0.11,0.01
6/14/2019 11:43,25.31,24.52777778,888,37.35,0,0.99,0.01,0.04
6/14/2019 11:43,28.6875,24.53472222,880.25,41.75,0.24,0.75,0,0.02
6/14/2019 11:43,28.25,24.16666667,869,40.95,0.51,0.49,0,0
6/14/2019 11:43,25.66333333,24.50925926,888,39.05,0,1,0,0
6/14/2019 11:43,28.06,24.16666667,869,42.25,0,1,0,0.06
6/14/2019 11:43,26.715,24.52777778,887.25,40.65,0.34,0.66,0,0.02
6/14/2019 11:43,26.4675,24.6875,897,41.55,0.18,0.81,0,0.07
6/14/2019 11:43,27.235,24.30555556,870.5,41.85,0,1,0,0.1
6/14/2019 11:43,25.06,24.16666667,869,37.55,0.01,0.95,0,0.03
6/14/2019 11:43,24.79044776,24.4212272,876.5373134,37.95,0,1,0,0
6/14/2019 11:43,26.39333333,24.66666667,892.3333333,40.15,0.14,0.83,0,0.04
6/14/2019 11:43,23.69,24.16666667,869,40.25,0.67,0.33,0,0
6/14/2019 11:43,25.3473913,24.59178744,890.6521739,41.15,0,0.99,0.01,0.01
6/14/2019 11:43,25.53,24.69444444,894.375,40.55,0.12,0.88,0,0.13
6/14/2019 11:43,25.12,24.16666667,869,36.95,0,0.99,0.01,0.01
6/14/2019 11:43,26.87333333,24.35185185,872,42.65,0,1,0,0.1
